title,link,snippet
中共中央办公厅国务院办公厅印发《深化科技体制改革实施方案》_文件,https://www.gov.cn/guowuyuan/2015-09/24/content_2938314.htm,"Sep 24, 2015 ... 落实落地。坚持科技体制改革的目标和方向，统筹衔接当前和长远举措，把握节奏，分步实施，增强改革的有序性。明确部门分工，强化责任担当，注重可操作、可考核、 ..."
国家科技创新政策汇编,http://kjt.fujian.gov.cn/xxgk/zcwj/202305/P020230505569630767918.pdf,"May 30, 2023 ... ... 科技体制改革加快国家创新体系建设的意见》和中共中央办. 公厅、国务院办公厅印发的《深化科技体制改革实施方案》关于科研. 机构章程制定的要求，推动 ..."
中共中央国务院关于深化科技体制改革加快国家创新体系建设的意见 ...,https://www.gov.cn/gongbao/content/2012/content_2238927.htm,"Sep 23, 2012 ... 加快建立企业为主体、市场为导向、产学研用紧密结合的技术创新体系。充分发挥企业在技术创新决策、研发投入、科研组织和成果转化中的主体作用，吸纳企业 ..."
科技发展计划（项目）管理,http://kjt.jl.gov.cn/bsfw/kjjhxmsb/201605/t20160503_2256110.html,"May 3, 2016 ... 吉林省科技发展计划是省政府为加快提高我省自主创新能力，促进科技成果转化与产业化，充分发挥科技对经济社会发展的支撑引领作用设立的，支持和引导全省 ..."
如何深化科技体制改革（政策问答·推进高水平科技自立自强）_政策 ...,https://www.gov.cn/zhengce/202404/content_6946392.htm,"Apr 20, 2024 ... 扎实推进高质量发展，必须继续做好创新这篇大文章。推进高水平科技自立自强，迫切需要建立与此相适应的科技创新体制机制，以深化改革进一步激发科技创新 ..."
中国人民银行印发《金融科技发展规划（2022-2025年）》,http://www.pbc.gov.cn/goutongjiaoliu/113456/113469/4438627/index.html,"Jan 4, 2022 ... 《规划》提出八个方面的重点任务。一是强化金融科技治理，全面塑造数字化能力，健全多方参与、协同共治的金融科技伦理规范体系，构建互促共进的数字生态。二 ..."
提升国家创新体系整体效能－国务院国有资产监督管理委员会,http://www.sasac.gov.cn/n2588025/n2588134/c30810594/content.html,"May 21, 2024 ... 提升国家创新体系整体效能，在资源配置、基础设施、科研平台、政策法规、技术标准、创新生态、科技人才等方面夯实基础，有利于打通束缚新质生产力发展的堵点 ..."
中国与肯尼亚签署政府间科技合作协定-中华人民共和国科学技术部,https://www.most.gov.cn/kjbgz/202504/t20250424_193474.html,"Apr 24, 2025 ... 这是我国签署的第119个政府间科技合作协定。双方将据此提升两国科技创新合作关系，在联合研究、科研人员交流、科技培训等领域开展合作，促进中肯科技 ..."
关于我国产学研结合的现状与思考,https://www.nsfc.gov.cn/csc/20345/20348/pdf/2008/%E5%85%B3%E4%BA%8E%E6%88%91%E5%9B%BD%E4%BA%A7%E5%AD%A6%E7%A0%94%E7%BB%93%E5%90%88%E7%9A%84%E7%8E%B0%E7%8A%B6%E4%B8%8E%E6%80%9D%E8%80%83.pdf,"发展我国政府与大型企业以基金的形式资助基础研. 究和应用性基础研究的途径, 起到了示范效应。 3 . 2. 完善有利于国家创新体系的科研成果评."
中美清洁能源联合研究中心在华盛顿举行揭牌仪式,http://sanfrancisco.china-consulate.gov.cn/chn/kj/jlhaz/201101/t20110122_10390050.htm,"Jan 22, 2011 ... ... 联合研究中心在华盛顿举行揭牌仪式。科技部万钢部长、美国能源部朱棣文部长和国家能源局张国宝局长共同为中美清洁能源联合研究中心揭牌。 建筑能效 ..."
